concept	observed_path	source	nxdl_path	definition	files
cdifsas:backgroundintensity	/data/blank	legacy:aps-usaxs	NXsas:	NXsas	APS-USAXS-pinSAXS.hdf5
cdifsas:beamcenterx	/instrument/detector/beam_center_x	crosswalk	NXsas:/ENTRY:NXentry/INSTRUMENT:NXinstrument/DETECTOR:NXdetector/beam_center_x	NXsas	APS-USAXS-pinSAXS.hdf5 | NXsas-autogenerated.hdf5
cdifsas:beamcentery	/instrument/detector/beam_center_y	crosswalk	NXsas:/ENTRY:NXentry/INSTRUMENT:NXinstrument/DETECTOR:NXdetector/beam_center_y	NXsas	APS-USAXS-pinSAXS.hdf5 | NXsas-autogenerated.hdf5
cdifsas:collimationlength	/instrument/collimator/geometry/shape/size	crosswalk	NXsas:/ENTRY:NXentry/INSTRUMENT:NXinstrument/COLLIMATOR:NXcollimator/GEOMETRY:NXgeometry/SHAPE:NXshape/size	NXsas	NXsas-autogenerated.hdf5
cdifsas:collimationlength	/instrument/collimator/geometry/shape/size_x	legacy:aps-usaxs	NXsas:/ENTRY:NXentry/INSTRUMENT:NXinstrument/COLLIMATOR:NXcollimator/GEOMETRY:NXgeometry/SHAPE:NXshape/size	NXsas	APS-USAXS-pinSAXS.hdf5
cdifsas:collimatorshape	/instrument/collimator/geometry/shape/shape	crosswalk	NXsas:/ENTRY:NXentry/INSTRUMENT:NXinstrument/COLLIMATOR:NXcollimator/GEOMETRY:NXgeometry/SHAPE:NXshape/shape	NXsas	APS-USAXS-pinSAXS.hdf5 | NXsas-autogenerated.hdf5
cdifsas:detectoraequatorialangle	/instrument/detector/aequatorial_angle	crosswalk	NXsas:/ENTRY:NXentry/INSTRUMENT:NXinstrument/DETECTOR:NXdetector/aequatorial_angle	NXsas	NXsas-autogenerated.hdf5
cdifsas:detectorazimuthalangle	/instrument/detector/azimuthal_angle	crosswalk	NXsas:/ENTRY:NXentry/INSTRUMENT:NXinstrument/DETECTOR:NXdetector/azimuthal_angle	NXsas	NXsas-autogenerated.hdf5
cdifsas:detectordistance	/instrument/detector/distance	crosswalk	NXsas:/ENTRY:NXentry/INSTRUMENT:NXinstrument/DETECTOR:NXdetector/distance	NXsas	APS-USAXS-pinSAXS.hdf5 | NXsas-autogenerated.hdf5
cdifsas:detectorhorizontal	/data/horizontal	legacy:aps-usaxs	NXsas:	NXsas	APS-USAXS-pinSAXS.hdf5
