# Units the CDIF XAS glossary states for concepts.
# Generated by crosswalk/build_crosswalk.py from XAS_Glossary_SKOS.json; edit the glossary, not this file.
# unit_id is a QUDT CURIE; unit: expands to http://qudt.org/vocab/unit/
concept_id	concept_label	unit_id
cdifxas:electronyieldabsorptioncoefficient	Electron yield absorption coefficient	unit:UNITLESS
cdifxas:exafsfunction	EXAFS function chi(k)	unit:UNITLESS
cdifxas:filteredchiimaginary	Filtered chi imaginary	unit:UNITLESS
cdifxas:filteredchimagnitude	Filtered chi magnitude	unit:UNITLESS
cdifxas:filteredchireal	Filtered chi real	unit:UNITLESS
cdifxas:fluorescenceabsorptioncoefficient	Fluorescence absorption coefficient	unit:UNITLESS
cdifxas:normalizedfluorescenceabsorptioncoefficient	Normalized fluorescence absorption coefficient	unit:UNITLESS
cdifxas:normalizedreferenceabsorptioncoefficient	Normalized reference absorption coefficient	unit:UNITLESS
cdifxas:normalizedtransmissionabsorptioncoefficient	Normalized transmission absorption coefficient	unit:UNITLESS
cdifxas:opacity	Sample opacity	unit:UNITLESS
cdifxas:porosity	Porosity	unit:UNITLESS
cdifxas:referenceabsorptioncoefficient	Reference absorption coefficient	unit:UNITLESS
